Stock Symbol,Company Name,Buy Date,Buy Price,Sell Date,Sell Price,Quantity,Investment,Sell Value,Profit/Loss,Tax (%),Net Profit,Sector,Exchange,Holding Period (Days)
TCS,Tata Consultancy Services,2024-01-10,3400,2024-06-12,3750,15,51000,56250,5250,10,4725.0,IT,NSE,154
INFY,Infosys Ltd,2024-02-05,1520,2024-08-10,1650,20,30400,33000,2600,10,2340.0,IT,BSE,187
HDFCBANK,HDFC Bank Ltd,2024-03-15,1450,2024-09-05,1575,30,43500,47250,3750,10,3375.0,Banking,NSE,174
RELIANCE,Reliance Industries,2024-01-20,2450,2024-07-30,2550,25,61250,63750,2500,10,2250.0,Energy,BSE,192
SBIN,State Bank of India,2024-04-18,680,2024-09-15,720,50,34000,36000,2000,10,1800.0,Banking,NSE,150
ITC,ITC Ltd,2024-01-25,440,2024-08-20,465,100,44000,46500,2500,10,2250.0,FMCG,BSE,208
MARUTI,Maruti Suzuki India,2024-02-28,9800,2024-09-25,10250,5,49000,51250,2250,10,2025.0,Automobile,NSE,210
ADANIGREEN,Adani Green Energy,2024-03-05,960,2024-06-30,920,30,28800,27600,-1200,0,-1200.0,Energy,BSE,117
AXISBANK,Axis Bank Ltd,2024-04-10,1020,2024-09-12,1080,20,20400,21600,1200,10,1080.0,Banking,NSE,155
HCLTECH,HCL Technologies,2024-02-18,1240,2024-08-22,1325,25,31000,33125,2125,10,1912.5,IT,BSE,186
ULTRACEMCO,UltraTech Cement,2024-01-15,8700,2024-07-20,9100,10,87000,91000,4000,10,3600.0,Cement,NSE,187
ONGC,Oil and Natural Gas Corp,2024-03-10,175,2024-08-15,190,100,17500,19000,1500,10,1350.0,Energy,BSE,158
SUNPHARMA,Sun Pharmaceutical,2024-02-12,1250,2024-09-18,1315,20,25000,26300,1300,10,1170.0,Pharma,NSE,219
TITAN,Titan Company Ltd,2024-01-18,3250,2024-08-05,3450,10,32500,34500,2000,10,1800.0,Luxury,BSE,200
DMART,Avenue Supermarts Ltd,2024-03-08,3950,2024-08-30,4100,10,39500,41000,1500,10,1350.0,Retail,NSE,175
